epoch,train/total_loss,train/rpn_objectness_loss,train/rpn_box_loss,train/det_cls_loss,train/det_reg_loss,train/lr,val/mAP_50,val/mAP_75,val/mAP_50_95,val/mAR,val/F1,val/precision,val/recall
1,,,,,,0.005,0.0009089975836675691,2.253637881176125e-06,0.0001537582751720015,0.006323268206039077,0.028559602649006623,0.034209221616261776,0.024511545293072826
2,,,,,,0.005,0.01847110331682348,6.410734717798034e-05,0.0035223494975878213,0.09888099467140318,0.07700385019250963,0.0635470826112074,0.09769094138543517
3,,,,,,0.005,0.06049013215951833,0.0018081041622539774,0.01529703363305154,0.135044404973357,0.12475577103987263,0.10526315789473684,0.1531083481349911
4,,,,,,0.005,0.09354080301766475,0.001629964959507573,0.02062999423934509,0.1366429840142096,0.16414396232761522,0.22256004864700518,0.1300177619893428
5,,,,,,0.005,0.0886709305371381,0.0020445809346919695,0.022139931036337775,0.11921847246891651,0.17681543116490167,0.18904164981803478,0.1660746003552398
6,,,,,,0.005,0.09857164241644496,0.0006995079994713239,0.019376218429101033,0.12523978685612788,0.18655772784748567,0.20619221672758548,0.17033747779751332
7,,,,,,0.005,0.08365952237582464,0.0023194449651634742,0.02055700417201195,0.12163410301953821,0.18078638021888935,0.2104766399244927,0.15843694493783303
8,,,,,,0.005,0.10869476036539752,0.00376227179243808,0.025714360240331975,0.09662522202486677,0.21374652363925306,0.24245155475439387,0.1911190053285968
9,,,,,,0.005,0.11129053128736724,0.0022981273727417017,0.0241072149873144,0.11646536412078154,0.22297544888237447,0.2302307983352251,0.21616341030195382
10,,,,,,0.005,0.06462893588898105,0.0016098529450842276,0.014989937338508652,0.06987566607460036,0.18047308478535967,0.19965539521860864,0.16465364120781528
11,,,,,,0.005,0.0807738528858305,0.002315920669776387,0.019503208095583417,0.0882948490230906,0.20873644092641455,0.23202259396046057,0.18969804618117228
12,,,,,,0.005,0.07728199869531666,0.0011472045113663256,0.016966139545355127,0.07273534635879217,0.18595240389247517,0.20320067382606866,0.1714031971580817
13,,,,,,0.005,0.10939315317728827,0.0022579299626510094,0.026138846390843695,0.09483126110124333,0.22799836266884976,0.26895219700627715,0.19786856127886324
14,,,,,,0.005,0.10518184385623794,0.0016623006756188818,0.02295533860471674,0.08879218472468917,0.2276098117512835,0.24488543371522095,0.21261101243339253
15,,,,,,0.005,0.06906970847631815,0.0025759852578977386,0.017623683079608973,0.08209591474245116,0.1937027466743229,0.21000207511931937,0.17975133214920072
16,,,,,,0.005,0.07340896341361323,0.0025152024518198947,0.017625325410867983,0.06637655417406749,0.18715708189392397,0.21866096866096865,0.16358792184724688
17,,,,,,0.005,0.043516546935332315,0.0011581400563185926,0.00967529483716663,0.05490230905861456,0.1654899259514379,0.16059491978609625,0.17069271758436944
18,,,,,,0.005,0.0795204268864925,0.0008376493119849941,0.01848226877978646,0.0686145648312611,0.2051961283749363,0.24062126642771803,0.1788632326820604
19,,,,,,0.005,0.07916322296912247,0.001027527473026111,0.01731379421892289,0.06856127886323268,0.2075082508250825,0.24741760944417118,0.17868561278863232
20,,,,,,0.005,0.05150912271078696,0.0008375836891074704,0.01130873609440817,0.051261101243339255,0.17063530319097656,0.18659076533839342,0.15719360568383658
21,,,,,,0.005,0.05547555885644356,0.0023317938730399936,0.014605972538637624,0.060248667850799284,0.17803108808290158,0.213681592039801,0.15257548845470692
22,,,,,,0.005,0.06338446264267802,0.0026575110445214117,0.016645594840018922,0.05369449378330373,0.16330153095185268,0.21749408983451538,0.13072824156305507
23,,,,,,0.005,0.09040369487346292,0.0023627238452426833,0.020563105895378388,0.07365896980461811,0.2294720599581175,0.3023525994772001,0.18490230905861457
24,,,,,,0.005,0.10429796365633007,0.004178805399409879,0.025798088087753673,0.09642984014209591,0.24745696400625977,0.27535916412712236,0.2246891651865009
25,,,,,,0.005,0.08303596170728378,0.0035926155013644647,0.020869800420675783,0.07602131438721137,0.20879461976202793,0.2500619578686493,0.1792184724689165
26,,,,,,0.005,0.08278177730254649,0.004159619435447154,0.021561931775759526,0.08182948490230905,0.21946831900859484,0.2509140767824497,0.1950266429840142
27,,,,,,0.005,0.06493821931639947,0.0033686187237342478,0.016791830069555022,0.06307282415630551,0.18114143920595535,0.2481458590852905,0.14262877442273533
28,,,,,,0.005,0.07317431432161678,0.0029700202170966166,0.019689815374836085,0.05966252220248667,0.1882278213000212,0.2329664570230608,0.15790408525754884
29,,,,,,0.005,0.0778730730871709,0.003446623784786258,0.02001361253360317,0.07365896980461813,0.19678190911067625,0.25364349775784756,0.16074600355239788
30,,,,,,0.005,0.07788389971807479,0.002998456358184882,0.020858197616408284,0.057495559502664294,0.18173649331685948,0.24717384662389244,0.14369449378330373
31,,,,,,0.005,0.09156057153313718,0.0020525162958991475,0.022266961003114115,0.06632326820603908,0.19700365695411115,0.29329118370214263,0.1483126110124334
32,,,,,,0.005,0.07115175322321532,0.002385678281688195,0.01704154043066509,0.05753108348134991,0.18902619871478005,0.21315496098104794,0.16980461811722913
33,,,,,,0.005,0.07171070821161629,0.0015194003078129444,0.016881377070561334,0.06566607460035524,0.18050117462803444,0.20104666375926733,0.16376554174067495
34,,,,,,0.005,0.0575797710107218,0.0018420930288656533,0.014769126980836291,0.04923623445825932,0.16275184275184276,0.18217821782178217,0.14706927175843695
35,,,,,,0.005,0.05774078989222832,0.0027644774684650814,0.015228178974255333,0.05589698046181172,0.15847052575677112,0.19709379128137383,0.1325044404973357
36,,,,,,0.005,0.06182257461696435,0.0026636332635267142,0.016790052801990966,0.04657193605683836,0.15698689956331877,0.20368271954674222,0.12770870337477797
37,,,,,,0.005,0.04862583180909349,0.002543076947555974,0.01340418508227264,0.04946714031971581,0.158654838044151,0.1892224409448819,0.13658969804618118
38,,,,,,0.005,0.06438702283482377,0.0034428174215037338,0.01702677523452863,0.05872113676731794,0.18093249826026442,0.2054639873560623,0.16163410301953818
